grid,nr,cvs,kappas
1,0,2.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,1,2.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,2,2.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,3,2.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,4,2.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,5,2.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,6,2.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,7,2.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,8,2.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,9,3.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,10,3.00000000*12.50000000,8.00000000e+01*8.00000000e+01
1,11,3.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,12,3.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,13,3.50000000*8.00000000,8.00000000e+01*8.00000000e+01
1,14,3.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,15,3.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,16,3.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,17,3.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,18,3.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,19,3.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,20,3.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,21,3.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,22,3.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,23,3.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,24,3.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,25,3.50000000*14.00000000,8.00000000e+01*8.00000000e+01
1,26,3.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,27,3.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,28,3.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,29,3.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,30,3.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,31,3.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,32,3.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,33,3.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,34,3.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,35,4.00000000*7.50000000,8.00000000e+01*8.00000000e+01
1,36,4.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,37,4.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,38,4.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,39,4.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,40,4.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,41,4.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,42,4.50000000*8.00000000,8.00000000e+01*8.00000000e+01
1,43,4.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,44,4.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,45,4.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,46,4.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,47,4.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,48,4.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,49,4.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,50,4.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,51,4.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,52,4.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,53,4.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,54,5.00000000*7.50000000,8.00000000e+01*8.00000000e+01
1,55,5.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,56,5.00000000*12.50000000,4.00000000e+01*4.00000000e+01
1,57,5.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,58,5.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,59,5.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,60,5.50000000*6.50000000,8.00000000e+01*8.00000000e+01
1,61,5.50000000*7.00000000,8.00000000e+01*8.00000000e+01
1,62,5.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,63,5.50000000*8.50000000,2.00000000e+01*2.00000000e+01
1,64,5.50000000*10.50000000,2.00000000e+01*2.00000000e+01
1,65,5.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,66,5.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,67,5.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,68,5.50000000*14.00000000,1.00000000e+01*1.00000000e+01
1,69,5.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,70,5.50000000*15.00000000,4.00000000e+01*4.00000000e+01
1,71,5.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,72,5.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,73,5.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,74,5.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,75,5.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,76,5.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,77,5.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,78,6.00000000*6.50000000,8.00000000e+01*8.00000000e+01
1,79,6.00000000*7.50000000,8.00000000e+01*8.00000000e+01
1,80,6.00000000*8.50000000,2.00000000e+01*2.00000000e+01
1,81,6.00000000*10.50000000,4.00000000e+01*4.00000000e+01
1,82,6.00000000*12.50000000,2.00000000e+01*2.00000000e+01
1,83,6.00000000*13.50000000,2.00000000e+01*2.00000000e+01
1,84,6.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,85,6.00000000*15.50000000,2.00000000e+01*2.00000000e+01
1,86,6.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,87,6.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,88,6.50000000*5.00000000,8.00000000e+01*8.00000000e+01
1,89,6.50000000*5.50000000,8.00000000e+01*8.00000000e+01
1,90,6.50000000*6.00000000,8.00000000e+01*8.00000000e+01
1,91,6.50000000*6.50000000,8.00000000e+01*8.00000000e+01
1,92,6.50000000*7.50000000,4.00000000e+01*4.00000000e+01
1,93,6.50000000*8.50000000,4.00000000e+01*4.00000000e+01
1,94,6.50000000*9.00000000,4.00000000e+01*4.00000000e+01
1,95,6.50000000*9.50000000,4.00000000e+01*4.00000000e+01
1,96,6.50000000*10.00000000,8.00000000e+01*8.00000000e+01
