grid,nr,cvs,kappas
1,93,12.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,94,13.00000000*9.50000000,4.00000000e+01*4.00000000e+01
1,95,13.00000000*10.50000000,4.00000000e+01*4.00000000e+01
1,96,13.00000000*11.50000000,4.00000000e+01*4.00000000e+01
1,97,13.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,98,13.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,99,13.50000000*9.50000000,4.00000000e+01*4.00000000e+01
1,100,13.50000000*10.50000000,4.00000000e+01*4.00000000e+01
1,101,13.50000000*11.50000000,2.00000000e+01*2.00000000e+01
1,102,13.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,103,14.00000000*4.50000000,8.00000000e+01*8.00000000e+01
1,104,14.00000000*11.50000000,4.00000000e+01*4.00000000e+01
1,105,14.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,106,14.50000000*3.50000000,8.00000000e+01*8.00000000e+01
1,107,14.50000000*4.00000000,8.00000000e+01*8.00000000e+01
1,108,14.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,109,14.50000000*5.50000000,8.00000000e+01*8.00000000e+01
1,110,14.50000000*6.00000000,4.00000000e+01*4.00000000e+01
1,111,14.50000000*6.50000000,4.00000000e+01*4.00000000e+01
1,112,14.50000000*9.50000000,4.00000000e+01*4.00000000e+01
1,113,14.50000000*10.00000000,4.00000000e+01*4.00000000e+01
1,114,14.50000000*10.50000000,2.00000000e+01*2.00000000e+01
1,115,14.50000000*11.00000000,4.00000000e+01*4.00000000e+01
1,116,14.50000000*11.50000000,2.00000000e+01*2.00000000e+01
1,117,14.50000000*15.50000000,2.00000000e+01*2.00000000e+01
1,118,14.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,119,14.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,120,15.00000000*4.50000000,8.00000000e+01*8.00000000e+01
1,121,15.00000000*5.50000000,2.00000000e+01*2.00000000e+01
1,122,15.00000000*10.50000000,2.00000000e+01*2.00000000e+01
1,123,15.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,124,15.50000000*4.50000000,8.00000000e+01*8.00000000e+01
1,125,15.50000000*5.50000000,4.00000000e+01*4.00000000e+01
1,126,15.50000000*7.50000000,4.00000000e+01*4.00000000e+01
1,127,15.50000000*8.50000000,4.00000000e+01*4.00000000e+01
1,128,15.50000000*9.50000000,4.00000000e+01*4.00000000e+01
1,129,15.50000000*10.50000000,4.00000000e+01*4.00000000e+01
