layer,nr,cvs,kappas,type
1,80,-12.75000000*4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,81,-12.75000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,82,-12.75000000*6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,83,-12.75000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,84,-12.75000000*7.50000000,1.60000000e+01*1.60000000e+01,new_node
1,85,-12.75000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,86,-12.75000000*9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,87,-12.75000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,88,-12.75000000*10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,89,-12.75000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,90,-12.00000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,91,-12.00000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,92,-12.00000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,93,-12.00000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,94,-12.00000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,95,-12.00000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,96,-12.00000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,97,-12.00000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,98,-12.00000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,99,-12.00000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,100,-12.00000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,101,-12.00000000*5.25000000,1.60000000e+01*1.60000000e+01,new_node
1,102,-12.00000000*6.75000000,1.60000000e+01*1.60000000e+01,new_node
1,103,-12.00000000*8.25000000,1.60000000e+01*1.60000000e+01,new_node
1,104,-12.00000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,105,-12.00000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,106,-11.25000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,107,-11.25000000*-12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,108,-11.25000000*-11.25000000,6.40000000e+01*6.40000000e+01,new_node
