grid,nr,cvs,kappas
2,0,4.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,1,4.50000000*13.00000000,8.00000000e+01*8.00000000e+01
2,2,4.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,3,4.50000000*16.50000000,8.00000000e+01*8.00000000e+01
2,4,4.50000000*17.00000000,8.00000000e+01*8.00000000e+01
2,5,4.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,6,4.50000000*18.00000000,8.00000000e+01*8.00000000e+01
2,7,4.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,8,4.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,9,4.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,10,5.00000000*12.50000000,8.00000000e+01*8.00000000e+01
2,11,5.00000000*17.50000000,8.00000000e+01*8.00000000e+01
2,12,5.00000000*18.50000000,8.00000000e+01*8.00000000e+01
2,13,5.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,14,5.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,15,5.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,16,5.50000000*14.00000000,4.00000000e+01*4.00000000e+01
2,17,5.50000000*14.50000000,4.00000000e+01*4.00000000e+01
2,18,5.50000000*15.50000000,4.00000000e+01*4.00000000e+01
2,19,5.50000000*16.00000000,8.00000000e+01*8.00000000e+01
2,20,5.50000000*16.50000000,4.00000000e+01*4.00000000e+01
2,21,5.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,22,5.50000000*18.00000000,8.00000000e+01*8.00000000e+01
2,23,5.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,24,5.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,25,5.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,26,6.00000000*18.50000000,8.00000000e+01*8.00000000e+01
2,27,6.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,28,6.50000000*13.00000000,8.00000000e+01*8.00000000e+01
2,29,6.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,30,6.50000000*14.00000000,4.00000000e+01*4.00000000e+01
