grid,nr,cvs,kappas
1,0,1.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,1,1.00000000*10.00000000,8.00000000e+01*8.00000000e+01
1,2,1.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,3,1.00000000*12.00000000,8.00000000e+01*8.00000000e+01
1,4,1.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,5,1.00000000*14.00000000,8.00000000e+01*8.00000000e+01
1,6,1.00000000*15.00000000,8.00000000e+01*8.00000000e+01
1,7,1.00000000*16.00000000,8.00000000e+01*8.00000000e+01
1,8,1.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,9,2.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,10,2.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,11,2.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,12,2.00000000*15.00000000,8.00000000e+01*8.00000000e+01
1,13,2.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,14,3.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,15,3.00000000*6.00000000,8.00000000e+01*8.00000000e+01
1,16,3.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,17,3.00000000*8.00000000,8.00000000e+01*8.00000000e+01
1,18,3.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,19,3.00000000*10.00000000,8.00000000e+01*8.00000000e+01
1,20,3.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,21,3.00000000*12.00000000,8.00000000e+01*8.00000000e+01
1,22,3.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,23,3.00000000*14.00000000,8.00000000e+01*8.00000000e+01
1,24,3.00000000*15.00000000,8.00000000e+01*8.00000000e+01
1,25,3.00000000*16.00000000,8.00000000e+01*8.00000000e+01
1,26,3.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,27,3.00000000*18.00000000,8.00000000e+01*8.00000000e+01
1,28,3.00000000*19.00000000,8.00000000e+01*8.00000000e+01
1,29,3.00000000*20.00000000,8.00000000e+01*8.00000000e+01
1,30,3.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,31,3.00000000*22.00000000,8.00000000e+01*8.00000000e+01
1,32,3.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,33,4.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,34,4.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,35,4.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,36,4.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,37,4.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,38,4.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,39,4.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,40,4.00000000*19.00000000,4.00000000e+01*4.00000000e+01
1,41,4.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,42,4.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,43,5.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,44,5.00000000*6.00000000,8.00000000e+01*8.00000000e+01
1,45,5.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,46,5.00000000*8.00000000,8.00000000e+01*8.00000000e+01
1,47,5.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,48,5.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,49,5.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,50,5.00000000*14.00000000,8.00000000e+01*8.00000000e+01
1,51,5.00000000*15.00000000,8.00000000e+01*8.00000000e+01
1,52,5.00000000*16.00000000,1.00000000e+01*1.00000000e+01
1,53,5.00000000*17.00000000,2.00000000e+01*2.00000000e+01
