grid,nr,cvs,kappas
2,81,13.00000000*17.50000000,4.00000000e+01*4.00000000e+01
2,82,13.00000000*18.50000000,4.00000000e+01*4.00000000e+01
2,83,13.00000000*19.50000000,4.00000000e+01*4.00000000e+01
2,84,13.00000000*20.50000000,8.00000000e+01*8.00000000e+01
2,85,13.50000000*12.50000000,8.00000000e+01*8.00000000e+01
2,86,13.50000000*13.00000000,8.00000000e+01*8.00000000e+01
2,87,13.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,88,13.50000000*14.50000000,8.00000000e+01*8.00000000e+01
2,89,13.50000000*15.00000000,8.00000000e+01*8.00000000e+01
2,90,13.50000000*15.50000000,4.00000000e+01*4.00000000e+01
2,91,13.50000000*16.00000000,4.00000000e+01*4.00000000e+01
2,92,13.50000000*16.50000000,4.00000000e+01*4.00000000e+01
2,93,13.50000000*17.50000000,4.00000000e+01*4.00000000e+01
2,94,13.50000000*18.00000000,4.00000000e+01*4.00000000e+01
2,95,13.50000000*18.50000000,2.00000000e+01*2.00000000e+01
2,96,13.50000000*19.00000000,4.00000000e+01*4.00000000e+01
2,97,13.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,98,13.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,99,14.00000000*13.50000000,8.00000000e+01*8.00000000e+01
2,100,14.00000000*14.50000000,4.00000000e+01*4.00000000e+01
2,101,14.00000000*16.50000000,4.00000000e+01*4.00000000e+01
2,102,14.00000000*18.50000000,4.00000000e+01*4.00000000e+01
2,103,14.50000000*13.50000000,8.00000000e+01*8.00000000e+01
2,104,14.50000000*14.00000000,8.00000000e+01*8.00000000e+01
2,105,14.50000000*14.50000000,8.00000000e+01*8.00000000e+01
2,106,14.50000000*16.50000000,4.00000000e+01*4.00000000e+01
2,107,14.50000000*17.00000000,4.00000000e+01*4.00000000e+01
2,108,14.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,109,14.50000000*18.00000000,8.00000000e+01*8.00000000e+01
2,110,14.50000000*18.50000000,8.00000000e+01*8.00000000e+01
